Model,RMSE,MAE,R2,Adj_R2,MAPE_pct,CV_R2_Mean,CV_R2_Std,Train_Time_s
Ridge (RidgeCV),96534.0,60620.0,0.2783,0.2601,6516.7,0.3061,0.0185,0.36
Random Forest,97055.0,57967.0,0.2881,0.2701,8840.3,0.2804,0.0427,9.14
XGBoost,92738.0,56225.0,0.293,0.2751,6971.18,0.2444,0.0413,1.58
