Target,Model,Accuracy,Macro_F1,Weighted_F1,Kappa,OVR_AUC,CV_F1_Mean,CV_F1_Std,Train_Time_s
ICorPM,Logistic Regression,0.6285,0.5327,0.6819,0.1349,0.6571,0.5365,0.004,5.65
ICorPM,Random Forest,0.7077,0.5578,0.7394,0.1355,0.6638,0.5601,0.0035,10.93
ICorPM,LightGBM,0.6151,0.5334,0.6711,0.1513,0.688,0.5411,0.0065,3.31
DevType_Group,Logistic Regression,0.3364,0.327,0.3489,0.2358,0.7927,0.3187,0.0079,33.96
DevType_Group,Random Forest,0.4003,0.3539,0.4189,0.2628,0.7882,0.3462,0.0069,10.95
DevType_Group,LightGBM,0.3729,0.3467,0.389,0.2586,0.8013,0.3441,0.006,16.28
