Model,Accuracy,Precision,Recall,F1,ROC_AUC,Kappa,CV_F1_Mean,CV_AUC_Mean,Train_Time_s
Logistic Regression,0.504,0.5059,0.5149,0.5104,0.517,0.0079,0.5147,0.5078,0.44
Random Forest,0.5065,0.5079,0.5458,0.5262,0.5104,0.0127,0.522,0.5046,9.5
XGBoost,0.504,0.506,0.505,0.5055,0.4983,0.008,0.5113,0.5043,2.69
